Thu, 27 Nov 14 20:38:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:38:47 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:38:47 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:38:47 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:39:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:39:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:39:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:39:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:39:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:39:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:39:47 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:39:47 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:39:47 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:40:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:40:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:40:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:40:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:40:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:40:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:40:47 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:40:47 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:40:47 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:41:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:41:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:41:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:41:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:41:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:41:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
